noun,gender,gloss
aislación,feminine,isolation
ajedrez,feminine,chess
alabanza,feminine,praise
albufera,feminine,lagoon
albúmina,feminine,albumin
alcachofa,feminine,artichoke
alcalinidad,feminine,alkalinity
alcancía,feminine,piggy bank
alcanza,feminine,reach
aldea,feminine,village
aleación,feminine,alloy
alegación,feminine,allegation
alegoría,feminine,allegory
alfabetización,feminine,literacy
alfalfa,feminine,alfalfa
alférez,feminine,second lieutenant
algarabía,feminine,gibberish
alhaja,feminine,jewel
alianza,feminine,alliance
alienación,feminine,alienation
alimentación,feminine,feeding
alineación,feminine,alignment
aliteración,feminine,alliteration
alma,feminine,soul
almendra,feminine,almond
alocución,feminine,speech
alquimia,feminine,alchemy
alquitara,feminine,still
alteración,feminine,alteration
alteridad,feminine,otherness
alternancia,feminine,alternation
alternativa,feminine,alternative
alteza,feminine,highness
altitud,feminine,altitude
altura,feminine,height
alucinación,feminine,hallucination
alusión,feminine,allusion
alvarez,feminine,alvarez
alúmina,feminine,alumina
amabilidad,feminine,kindness
amalgama,feminine,amalgam
amargura,feminine,bitterness
amazona,feminine,amazon
ambición,feminine,ambition
ambientación,feminine,atmosphere
ambigüedad,feminine,ambiguity
ambivalencia,feminine,ambivalence
ambulancia,feminine,ambulance
amenaza,feminine,threat
amistad,feminine,friendship
amnesia,feminine,amnesia
amonestación,feminine,reprimand
amortiguación,feminine,damping
amortización,feminine,amortization
ampliación,feminine,expansion
amplificación,feminine,amplification
amplitud,feminine,width
amputación,feminine,amputation
anacronía,feminine,anachronism
anagnórisis,feminine,anagnorisis
analisis,feminine,analysis
analogía,feminine,analogy
analysis,feminine,analysis
anarquía,feminine,anarchy
anatomía,feminine,anatomy
anchura,feminine,width
andadura,feminine,gait
anemia,feminine,anemia
anestesia,feminine,anesthesia
anexión,feminine,annexation
anfibología,feminine,amphibology
angina,feminine,angina
angiografía,feminine,angiography
angostura,feminine,bitters
anilina,feminine,aniline
animación,feminine,animation
animadversión,feminine,animosity
animosidad,feminine,hostility
aniquilación,feminine,annihilation
anisotropía,feminine,anisotropy
anormalidad,feminine,abnormality
anotación,feminine,annotation
ansiedad,feminine,anxiety
antelación,feminine,precedence
antena,feminine,antenna
anterioridad,feminine,priority
anticoncepción,feminine,contraception
anticorrupción,feminine,anti-corruption
antiguedad,feminine,antiquity
antigüedad,feminine,antiquity
antinomia,feminine,antinomy
antología,feminine,anthology
antropología,feminine,anthropology
antítesis,feminine,antithesis
anuencia,feminine,assent
anulación,feminine,cancellation
anunciación,feminine,annunciation
anáfora,feminine,anaphora
aparición,feminine,appearance
apariencia,feminine,appearance
apatita,feminine,apatite
apendicitis,feminine,appendicitis
apertura,feminine,opening
apicultura,feminine,beekeeping
aplicabilidad,feminine,applicability
aplicación,feminine,application
apocalipsis,feminine,apocalypse
apología,feminine,apology
aportación,feminine,contribution
aporía,feminine,aporia
apoteosis,feminine,apotheosis
apreciación,feminine,appreciation
aprehensión,feminine,apprehension
aprensión,feminine,anxiety
apresura,feminine,haste
aprobación,feminine,approval
apropiación,feminine,appropriation
aproximación,feminine,approximation
aptitud,feminine,aptitude
apófisis,feminine,apophysis
arandela,feminine,washer
aranjuez,feminine,aranjuez
arbitrariedad,feminine,arbitrariness
arboleda,feminine,grove
archidiócesis,feminine,archdiocese
arcilla,feminine,clay
arena,feminine,sand
arenga,feminine,harangue
arepa,feminine,arepa
argamasa,feminine,mortar
argumentación,feminine,argumentation
arista,feminine,edge
aristocracia,feminine,aristocracy
armadura,feminine,armor
armonización,feminine,harmonization
arqueología,feminine,archaeology
arqueta,feminine,small chest
arquidiócesis,feminine,archdiocese
arquitectura,feminine,architecture
arrogancia,feminine,arrogance
arteria,feminine,artery
artesanía,feminine,craftsmanship
articulación,feminine,articulation
artimaña,feminine,trick
artritis,feminine,arthritis
artrosis,feminine,osteoarthritis
ascendencia,feminine,ancestry
ascensión,feminine,ascension
asegura,feminine,assurance
asepsia,feminine,asepsis
aseveración,feminine,assertion
asfixia,feminine,asphyxia
asiduidad,feminine,assiduity
asignación,feminine,allocation
asignatura,feminine,subject
asimilación,feminine,assimilation
asis,feminine,base
asistencia,feminine,assistance
asociación,feminine,association
aspersión,feminine,sprinkling
aspiración,feminine,aspiration
astilla,feminine,splinter
astrología,feminine,astrology
astronomía,feminine,astronomy
astucia,feminine,cunning
asunción,feminine,assumption
atadura,feminine,bondage
ataraxia,feminine,ataraxia
atención,feminine,attention
atenuación,feminine,attenuation
atlántida,feminine,atlantis
atmósfera,feminine,atmosphere
atonía,feminine,atonality
atracción,feminine,attraction
atribución,feminine,attribution
atrocidad,feminine,atrocity
atrofia,feminine,atrophy
audición,feminine,hearing
audiencia,feminine,audience
auditoría,feminine,audit
aura,feminine,aura
aurora,feminine,dawn
ausencia,feminine,absence
austeridad,feminine,austerity
autarquía,feminine,autarky
autenticación,feminine,authentication
autenticidad,feminine,authenticity
autentificación,feminine,authentication
autobiografía,feminine,autobiography
autocensura,feminine,self-censorship
autoconciencia,feminine,self-awareness
autoconfianza,feminine,self-confidence
autocracia,feminine,autocracy
autodestrucción,feminine,self-destruction
autodeterminación,feminine,self-determination
autoevaluación,feminine,self-evaluation
automatización,feminine,automation
automoción,feminine,automotive industry
autopista,feminine,highway
autoprotección,feminine,self-protection
autoridad,feminine,authority
autorización,feminine,authorization
autorregulación,feminine,self-regulation
autosuficiencia,feminine,self-sufficiency
avanza,feminine,advance
avaricia,feminine,greed
avenida,feminine,avenue
aventura,feminine,adventure
averiguación,feminine,investigation
aversión,feminine,aversion
aviación,feminine,aviation
avicultura,feminine,poultry farming
azotea,feminine,rooftop
azúcar,feminine,sugar
añadidura,feminine,addition
añoranza,feminine,longing
badana,feminine,leather strap
baez,feminine,baez
baeza,feminine,baeza
bagdad,feminine,baghdad
bahía,feminine,bay
bajeza,feminine,baseness
balanza,feminine,balance
baliza,feminine,beacon
banalidad,feminine,banality
banca,feminine,banking
bancarrota,feminine,bankruptcy
bandera,feminine,flag
barandilla,feminine,railing
barbaridad,feminine,barbarity
barbarie,feminine,barbarism
barcaza,feminine,barge
barraca,feminine,hut
barrera,feminine,barrier
barricada,feminine,barricade
base,feminine,base
basura,feminine,garbage
basílica,feminine,basilica
batería,feminine,battery
batimetría,feminine,bathymetry
bauxita,feminine,bauxite
bayoneta,feminine,bayonet
beatificación,feminine,beatification
beatitud,feminine,beatitude
bebida,feminine,drink
beca,feminine,scholarship
beligerancia,feminine,belligerence
belladona,feminine,belladonna
belleza,feminine,beauty
bendición,feminine,blessing
beneficencia,feminine,charity
benevolencia,feminine,benevolence
bengala,feminine,bengal
benignidad,feminine,benignity
benitez,feminine,benitez
benítez,feminine,benitez
berlina,feminine,sedan
bermúdez,feminine,bermudez
bestialidad,feminine,bestiality
bibliografía,feminine,bibliography
biblioteca,feminine,library
bibliotecología,feminine,library science
bicicleta,feminine,bicycle
biela,feminine,connecting rod
bifurcación,feminine,bifurcation
bilis,feminine,bile
biodiversidad,feminine,biodiversity
biografía,feminine,biography
biología,feminine,biology
biopsia,feminine,biopsy
bioseguridad,feminine,biosafety
biotecnología,feminine,biotechnology
bipolaridad,feminine,bipolarity
bisagra,feminine,hinge
bisexualidad,feminine,bisexuality
bitácora,feminine,logbook
blancura,feminine,whiteness
bobina,feminine,coil
bolsa,feminine,bag
boludez,feminine,foolishness
bomba,feminine,bomb
bonanza,feminine,bonanza
bondad,feminine,goodness
bonificación,feminine,bonus
botella,feminine,bottle
braga,feminine,knickers
braganza,feminine,braganza
brasa,feminine,ember
bravura,feminine,bravery
brecha,feminine,breach
brevedad,feminine,brevity
brida,feminine,bridle
brillantez,feminine,brightness
bronquitis,feminine,bronchitis
brutalidad,feminine,brutality
brújula,feminine,compass
buenaventura,feminine,good fortune
bujía,feminine,spark plug
burocracia,feminine,bureaucracy
butaca,feminine,armchair
báez,feminine,baez
bóveda,feminine,vault
cabalidad,feminine,cabalism
caballerosidad,feminine,chivalry
cabaña,feminine,cabin
cabeza,feminine,head
cabina,feminine,cabin
cablevisión,feminine,cable television
cacerola,feminine,saucepan
cadena,feminine,chain
cadencia,feminine,cadence
caducidad,feminine,expiry
caja,feminine,cash box
calabaza,feminine,pumpkin
calamidad,feminine,calamity
calcita,feminine,calcite
calcomanía,feminine,decal
caldera,feminine,boiler
calefacción,feminine,heating
calentura,feminine,fever
calibración,feminine,calibration
calidad,feminine,quality
calidez,feminine,warmth
calificación,feminine,qualification
caligrafía,feminine,calligraphy
calima,feminine,haze
caliza,feminine,limestone
calle,feminine,street
calzada,feminine,roadway
cama,feminine,bed
camelia,feminine,camellia
camisa,feminine,shirt
campana,feminine,bell
campaña,feminine,campaign
canalización,feminine,canalization
cancela,feminine,grille
cancelación,feminine,cancellation
canción,feminine,song
candidatura,feminine,candidature
canonización,feminine,canonization
cantera,feminine,quarry
cantidad,feminine,quantity
canícula,feminine,dog days
capa,feminine,cape
capacidad,feminine,capacity
capacitación,feminine,training
capilaridad,feminine,capillarity
capital,feminine,capital
capitalidad,feminine,capital status
capitalización,feminine,capitalization
capitulación,feminine,surrender
captación,feminine,acquisition
captura,feminine,capture
caracterización,feminine,characterization
caradura,feminine,cheek
caravana,feminine,caravan
carbonatación,feminine,carbonation
carcoma,feminine,woodworm
cardiología,feminine,cardiology
carencia,feminine,lack
carestía,feminine,scarcity
carga,feminine,load
caricatura,feminine,caricature
caridad,feminine,charity
carpintería,feminine,carpentry
carranza,feminine,carranza
carretera,feminine,road
carta,feminine,letter
cartografía,feminine,cartography
casa,feminine,house
casación,feminine,annulment
casamata,feminine,bunker
castidad,feminine,chastity
castración,feminine,castration
casualidad,feminine,coincidence
casuística,feminine,casuistry
catacumba,feminine,catacomb
catalogación,feminine,cataloging
catapulta,feminine,catapult
catarsis,feminine,catharsis
categorización,feminine,categorization
categoría,feminine,category
catequesis,feminine,catechism
catálisis,feminine,catalysis
caución,feminine,caution
causa,feminine,cause
causalidad,feminine,causality
cautividad,feminine,captivity
cavidad,feminine,cavity
cazuela,feminine,casserole
cañería,feminine,pipework
celda,feminine,cell
celebración,feminine,celebration
celebridad,feminine,celebrity
celeridad,feminine,speed
celosía,feminine,lattice
celulitis,feminine,cellulitis
celulosa,feminine,cellulose
ceniza,feminine,ash
censura,feminine,censorship
centralidad,feminine,centrality
centralización,feminine,centralization
cereza,feminine,cherry
cerilla,feminine,match
cerradura,feminine,lock
cerrajería,feminine,locksmithing
certeza,feminine,certainty
certidumbre,feminine,certainty
certificación,feminine,certification
cerveza,feminine,beer
cerámica,feminine,ceramics
cesación,feminine,cessation
cesión,feminine,cession
cesura,feminine,caesura
chabola,feminine,shanty
chanza,feminine,joke
chaqueta,feminine,jacket
charca,feminine,pond
chasis,feminine,chassis
chatarra,feminine,scrap
chavez,feminine,chavez
chez,feminine,home
chilevisión,feminine,chilevisi贸n
chimenea,feminine,chimney
chincheta,feminine,pin
chirimía,feminine,shawm
chistera,feminine,top hat
chávez,feminine,chavez
cianita,feminine,cyanite
ciberseguridad,feminine,cybersecurity
cicatrización,feminine,scarring
ciencia,feminine,science
cienciología,feminine,science studies
cieza,feminine,sickness
cimentación,feminine,foundation
cinematografía,feminine,cinematography
cintura,feminine,waist
circulación,feminine,circulation
circuncisión,feminine,circumcision
circunferencia,feminine,circumference
circunscripción,feminine,constituency
circunstancia,feminine,circumstance
circunvalación,feminine,ring road
cirrosis,feminine,cirrhosis
citación,feminine,citation
citología,feminine,cytology
ciudad,feminine,city
civilidad,feminine,civility
civilización,feminine,civilization
ción,feminine,suffix -tion
clandestinidad,feminine,clandestinity
claridad,feminine,clarity
clarificación,feminine,clarification
clarividencia,feminine,clairvoyance
clase,feminine,class
clasificación,feminine,classification
clausura,feminine,closure
clave,feminine,key
clemencia,feminine,clemency
climatización,feminine,air conditioning
climatología,feminine,climatology
clonación,feminine,cloning
clínica,feminine,clinic
coacción,feminine,coercion
coagulación,feminine,coagulation
coalición,feminine,coalition
cobertura,feminine,coverage
cobranza,feminine,collection
cocción,feminine,cooking
cocina,feminine,kitchen
codificación,feminine,coding
coerción,feminine,coercion
coexistencia,feminine,coexistence
cognición,feminine,cognition
coherencia,feminine,coherence
cohesión,feminine,cohesion
coincidencia,feminine,coincidence
colaboración,feminine,collaboration
colación,feminine,collation
colección,feminine,collection
colectividad,feminine,collectivity
colectivización,feminine,collectivization
colegiatura,feminine,professional licensing
colisión,feminine,collision
colitis,feminine,colitis
colocación,feminine,placement
colonización,feminine,colonization
coloración,feminine,coloration
columna,feminine,column
colusión,feminine,collusion
comandancia,feminine,command
comercialización,feminine,commercialization
comicidad,feminine,comicality
comida,feminine,food
comisión,feminine,commission
comisura,feminine,commissure
comodidad,feminine,comfort
compactación,feminine,compaction
comparación,feminine,comparison
comparecencia,feminine,appearance
compasión,feminine,compassion
compatibilidad,feminine,compatibility
compañía,feminine,company
compensación,feminine,compensation
competencia,feminine,competence
competición,feminine,competition
competitividad,feminine,competitiveness
compilación,feminine,compilation
complacencia,feminine,complacency
complejidad,feminine,complexity
complementación,feminine,complementation
complementariedad,feminine,complementarity
complexión,feminine,complexion
complicación,feminine,complication
complicidad,feminine,complicity
composición,feminine,composition
compostura,feminine,composure
compra,feminine,purchase
comprensión,feminine,comprehension
compresión,feminine,compression
comprobación,feminine,verification
compulsión,feminine,compulsion
computación,feminine,computing
computadora,feminine,computer
comunicación,feminine,communication
concentración,feminine,concentration
concepción,feminine,conception
conceptualización,feminine,conceptualization
concertación,feminine,negotiation
concesión,feminine,concession
conciencia,feminine,consciousness
concienciación,feminine,awareness raising
concientización,feminine,consciousness raising
conciliación,feminine,conciliation
conclusión,feminine,conclusion
concordancia,feminine,consistency
concreción,feminine,concretion
concusión,feminine,concussion
condecoración,feminine,decoration
condenación,feminine,condemnation
condensación,feminine,condensation
condescendencia,feminine,condescension
condolencia,feminine,condolence
conducción,feminine,driving
conductividad,feminine,conductivity
conectividad,feminine,connectivity
conexión,feminine,connection
confección,feminine,manufacture
confederación,feminine,confederation
conferencia,feminine,conference
confesión,feminine,confession
confiabilidad,feminine,reliability
confianza,feminine,trust
confidencia,feminine,confidential communication
confidencialidad,feminine,confidentiality
configura,feminine,configuration
configuración,feminine,configuration
confiscación,feminine,confiscation
conflictividad,feminine,conflict potential
confluencia,feminine,confluence
conformación,feminine,formation
conformidad,feminine,conformity
confrontación,feminine,confrontation
confusión,feminine,confusion
congelación,feminine,freezing
congruencia,feminine,congruence
conjetura,feminine,conjecture
conjugación,feminine,conjugation
conjunción,feminine,conjunction
conjuntivitis,feminine,conjunctivitis
conjura,feminine,conspiracy
conmemoración,feminine,commemoration
conmoción,feminine,commotion
conmutación,feminine,commutation
connivencia,feminine,connivance
connotación,feminine,connotation
consagración,feminine,consecration
consanguinidad,feminine,consanguinity
consciencia,feminine,consciousness
conscripción,feminine,conscription
consecuencia,feminine,consequence
conservación,feminine,conservation
consideración,feminine,consideration
consignación,feminine,consignment
consolación,feminine,consolation
consolidación,feminine,consolidation
conspiración,feminine,conspiracy
constancia,feminine,perseverance
constante,feminine,constant
constanza,feminine,constancy
constatación,feminine,verification
constelación,feminine,constellation
constitucionalidad,feminine,constitutionality
constitución,feminine,constitution
construcción,feminine,construction
consumación,feminine,consummation
contabilidad,feminine,accounting
contad,feminine,accountant
contaminación,feminine,pollution
contemplación,feminine,contemplation
contemporaneidad,feminine,contemporaneity
contención,feminine,restraint
contestación,feminine,reply
contextualización,feminine,contextualization
contingencia,feminine,contingency
continuación,feminine,continuation
continuidad,feminine,continuity
contracción,feminine,contraction
contractura,feminine,contracture
contracultura,feminine,counterculture
contradicción,feminine,contradiction
contrainsurgencia,feminine,counterinsurgency
contrainteligencia,feminine,counterintelligence
contraposición,feminine,juxtaposition
contraprestación,feminine,counter-performance
contrariedad,feminine,opposition
contrarrevolución,feminine,counter-revolution
contratación,feminine,recruitment
contravención,feminine,violation
contribución,feminine,contribution
contundencia,feminine,persuasiveness
contusión,feminine,contusion
convalecencia,feminine,convalescence
convalidación,feminine,validation
convección,feminine,convection
convención,feminine,convention
conveniencia,feminine,convenience
convergencia,feminine,convergence
conversación,feminine,conversation
conversión,feminine,conversion
convertibilidad,feminine,convertibility
convicción,feminine,conviction
convivencia,feminine,coexistence
convulsión,feminine,convulsion
cooperación,feminine,cooperation
coordinación,feminine,coordination
copa,feminine,cup
coparticipación,feminine,shared participation
copia,feminine,copy
coproducción,feminine,co-production
copropiedad,feminine,co-ownership
cordialidad,feminine,cordiality
cordura,feminine,good sense
coreografía,feminine,choreography
corona,feminine,crown
coronación,feminine,coronation
corporación,feminine,corporation
corrección,feminine,correction
correlación,feminine,correlation
correspondencia,feminine,correspondence
corresponsabilidad,feminine,joint responsibility
corriente,feminine,current
corrosión,feminine,corrosion
corrupción,feminine,corruption
cortez,feminine,cortez
corteza,feminine,bark
cosa,feminine,thing
cosificación,feminine,reification
cosmología,feminine,cosmology
cosmovisión,feminine,worldview
costa,feminine,coast
costanza,feminine,constancy
costumbre,feminine,custom
costura,feminine,sewing
cotidianeidad,feminine,everydayness
cotidianidad,feminine,everydayness
cotización,feminine,quotation
coyuntura,feminine,economic situation
creación,feminine,creation
creatividad,feminine,creativity
credibilidad,feminine,credibility
credulidad,feminine,credulity
creencia,feminine,belief
crema,feminine,cream
cremación,feminine,cremation
crianza,feminine,upbringing
criatura,feminine,creature
criminalidad,feminine,criminality
criminalización,feminine,criminalization
criminología,feminine,criminology
criptografía,feminine,cryptography
crisis,feminine,crisis
crispación,feminine,tension
cristalización,feminine,crystallization
cristiandad,feminine,christendom
cromatografía,feminine,chromatography
cronología,feminine,chronology
crucifixión,feminine,crucifixion
crudeza,feminine,crudeness
crueldad,feminine,cruelty
cuadratura,feminine,quadrature
cualidad,feminine,quality
cualificación,feminine,qualification
cuantificación,feminine,quantification
cuchara,feminine,spoon
cuenta,feminine,account
cuerda,feminine,rope
cuidad,feminine,care
culminación,feminine,culmination
culpabilidad,feminine,culpability
cultura,feminine,culture
cumbre,feminine,summit
cura,feminine,care
curación,feminine,healing
curiosidad,feminine,curiosity
cursis,feminine,vulgarity
curva,feminine,curve
curvatura,feminine,curvature
cámara,feminine,chamber
cápsula,feminine,capsule
célula,feminine,cell
dación,feminine,conferral
dad,feminine,father
danza,feminine,dance
datación,feminine,dating
debilidad,feminine,weakness
decadencia,feminine,decadence
decapitación,feminine,decapitation
decencia,feminine,decency
decepción,feminine,deception
decisión,feminine,decision
declamación,feminine,declamation
declaración,feminine,declaration
declinación,feminine,decline
decodificación,feminine,decoding
decoloración,feminine,discoloration
deconstrucción,feminine,deconstruction
decoración,feminine,decoration
deducción,feminine,deduction
defecación,feminine,defecation
deferencia,feminine,deference
deficiencia,feminine,deficiency
definición,feminine,definition
deflación,feminine,deflation
deforestación,feminine,deforestation
deformación,feminine,deformation
deformidad,feminine,deformity
defraudación,feminine,fraud
defunción,feminine,death
degeneración,feminine,degeneration
degradación,feminine,degradation
degustación,feminine,tasting
deidad,feminine,deity
dejación,feminine,abandonment
delación,feminine,denunciation
delegación,feminine,delegation
deliberación,feminine,deliberation
delicadeza,feminine,delicacy
delimitación,feminine,delimitation
delincuencia,feminine,delinquency
demanda,feminine,demand
demarcación,feminine,demarcation
demencia,feminine,dementia
democracia,feminine,democracy
democratización,feminine,democratization
demografía,feminine,demography
demolición,feminine,demolition
demonización,feminine,demonization
demostración,feminine,demonstration
denegación,feminine,denial
denominación,feminine,denomination
densidad,feminine,density
dentadura,feminine,dentition
deontología,feminine,deontology
dependencia,feminine,dependence
depilación,feminine,depilation
deportación,feminine,deportation
deportividad,feminine,sportsmanship
deposición,feminine,deposition
depravación,feminine,depravity
depreciación,feminine,depreciation
depredación,feminine,predation
depresión,feminine,depression
depuración,feminine,purification
derbez,feminine,derbez
dermatitis,feminine,dermatitis
dermatología,feminine,dermatology
derogación,feminine,repeal
desaceleración,feminine,deceleration
desactivación,feminine,deactivation
desafección,feminine,disaffection
desamortización,feminine,redemption
desaparición,feminine,disappearance
desaprobación,feminine,disapproval
desarticulación,feminine,disarticulation
desatención,feminine,inattention
descalificación,feminine,disqualification
descendencia,feminine,descent
descentralización,feminine,decentralization
descolonización,feminine,decolonization
descomposición,feminine,decomposition
descompresión,feminine,decompression
desconexión,feminine,disconnection
desconfianza,feminine,distrust
descontaminación,feminine,decontamination
descripción,feminine,description
desecación,feminine,desiccation
desembocadura,feminine,estuary
deserción,feminine,desertion
desertificación,feminine,desertification
desesperación,feminine,desperation
desesperanza,feminine,hopelessness
desestabilización,feminine,destabilization
desestimación,feminine,underestimation
desfachatez,feminine,shamelessness
deshidratación,feminine,dehydration
deshonestidad,feminine,dishonesty
deshumanización,feminine,dehumanization
designación,feminine,designation
desigualdad,feminine,inequality
desilusión,feminine,disillusionment
desindustrialización,feminine,deindustrialization
desinfección,feminine,disinfection
desinformación,feminine,disinformation
desintegración,feminine,disintegration
desintoxicación,feminine,detoxification
desinversión,feminine,disinvestment
deslealtad,feminine,disloyalty
deslocalización,feminine,relocation
desmilitarización,feminine,demilitarization
desmovilización,feminine,demobilization
desnacionalización,feminine,denationalization
desnuclearización,feminine,denuclearization
desnudez,feminine,nudity
desnutrición,feminine,malnutrition
desobediencia,feminine,disobedience
desocupación,feminine,unemployment
desolación,feminine,desolation
desorientación,feminine,disorientation
despenalización,feminine,decriminalization
despoblación,feminine,depopulation
despreocupación,feminine,carelessness
desproporción,feminine,disproportion
desprotección,feminine,lack of protection
desregulación,feminine,deregulation
destilación,feminine,distillation
destinación,feminine,allocation
destitución,feminine,dismissal
destreza,feminine,skill
destrucción,feminine,destruction
desventura,feminine,misfortune
desviación,feminine,deviation
desvinculación,feminine,disaffiliation
detección,feminine,detection
detención,feminine,detention
determinación,feminine,determination
detonación,feminine,detonation
deuda,feminine,debt
devaluación,feminine,devaluation
devastación,feminine,devastation
devoción,feminine,devotion
devolución,feminine,repayment
deza,feminine,deza
diagnosis,feminine,diagnosis
dictadura,feminine,dictatorship
diez,feminine,ten
difamación,feminine,defamation
diferencia,feminine,difference
diferenciación,feminine,differentiation
dificultad,feminine,difficulty
difracción,feminine,diffraction
difusión,feminine,diffusion
dignidad,feminine,dignity
dignificación,feminine,dignification
dilación,feminine,delay
dilatación,feminine,dilation
diligencia,feminine,diligence
dilución,feminine,dilution
dimensión,feminine,dimension
dimisión,feminine,resignation
dinamización,feminine,dynamization
diplomatura,feminine,diploma
diputación,feminine,deputation
dirección,feminine,direction
dirigencia,feminine,leadership
discapacidad,feminine,disability
disciplina,feminine,discipline
discografía,feminine,discography
disconformidad,feminine,disagreement
discontinuidad,feminine,discontinuity
discordancia,feminine,discrepancy
discrecionalidad,feminine,discretionary power
discreción,feminine,discretion
discrepancia,feminine,discrepancy
discriminación,feminine,discrimination
discusión,feminine,discussion
disección,feminine,dissection
diseminación,feminine,dissemination
disensión,feminine,dissension
disertación,feminine,dissertation
disfunción,feminine,dysfunction
disidencia,feminine,dissidence
disipación,feminine,dissipation
dislocación,feminine,dislocation
disminución,feminine,reduction
disociación,feminine,dissociation
disolución,feminine,dissolution
disonancia,feminine,dissonance
disparidad,feminine,disparity
dispensación,feminine,dispensation
dispersión,feminine,dispersion
disponibilidad,feminine,availability
disposición,feminine,disposition
distancia,feminine,distance
distensión,feminine,detente
distinción,feminine,distinction
distorsión,feminine,distortion
distracción,feminine,distraction
distribución,feminine,distribution
disuasión,feminine,deterrence
divergencia,feminine,divergence
diversidad,feminine,diversity
diversificación,feminine,diversification
diversión,feminine,entertainment
divinidad,feminine,divinity
división,feminine,division
divulgación,feminine,dissemination
diálisis,feminine,dialysis
diócesis,feminine,diocese
docencia,feminine,teaching
documentación,feminine,documentation
dolarización,feminine,dollarization
dolencia,feminine,ailment
domesticación,feminine,domestication
dominación,feminine,domination
dominancia,feminine,dominance
domínguez,feminine,dominguez
donación,feminine,donation
dosificación,feminine,dosage
dosis,feminine,dose
dotación,feminine,allocation
dramatización,feminine,dramatization
drogadicción,feminine,drug addiction
dualidad,feminine,duality
dulzura,feminine,sweetness
duplicación,feminine,duplication
duplicidad,feminine,duplicity
dura,feminine,hardness
duración,feminine,duration
dureza,feminine,hardness
díez,feminine,ten
ebriedad,feminine,drunkenness
ebullición,feminine,boiling
eclosión,feminine,hatching
ecografía,feminine,ultrasound
economía,feminine,economy
ecuación,feminine,equation
ecuanimidad,feminine,equanimity
edad,feminine,age
edición,feminine,edition
edificación,feminine,edification
editorial,feminine,editorial
educación,feminine,education
efectividad,feminine,effectiveness
efervescencia,feminine,effervescence
eficiencia,feminine,efficiency
efusión,feminine,effusion
ejecución,feminine,execution
ejemplaridad,feminine,exemplarity
elaboración,feminine,elaboration
elasticidad,feminine,elasticity
elección,feminine,election
electricidad,feminine,electricity
electrificación,feminine,electrification
elegancia,feminine,elegance
elegibilidad,feminine,eligibility
elevación,feminine,elevation
eliminación,feminine,elimination
elocuencia,feminine,eloquence
elongación,feminine,elongation
elusión,feminine,evasion
emanación,feminine,emanation
embarcación,feminine,vessel
embriaguez,feminine,intoxication
emergencia,feminine,emergency
emigración,feminine,emigration
eminencia,feminine,eminence
emisión,feminine,emission
emoción,feminine,emotion
